	municipio	nome_escola	endereco_escola	numero_endereco	cep	bairro	longitude	latitude
81	sao paulo	joaquim leme do prado professor	avenida imirim	2113	2465200	imirim	-46,6522789	-23,48822975
82	sao paulo	julio maia	sobral junior	234	2130020	vila maria alta	-46,58980942	-23,50536919
83	sao paulo	jose marcelino da fonseca major	rua soldado bentinho	87	2418090	parque mandaqui	-46,62895966	-23,47079086
84	sao paulo	castro alves	francisco bruno	67	2432070	vila mariza mazzei	-46,63970184	-23,48559952
85	sao paulo	pedro costa deputado	nilo luis mazzei	378	2081070	vila isolina mazzei	-46,60280991	-23,4934597
86	sao paulo	carlos de laet prof	albertina vieira da silva gordo	147	2410000	vila aurora zona norte	-46,6242981	-23,47699928
87	sao paulo	antonio lisboa professor	rua professor fabio fanucchi	425	2045080	bairro jardim sao paulo	-46,62107849	-23,50462914
88	sao paulo	antonio vieira padre	avenida cruzeiro do sul	3301	2031200	caninde	-46,62521362	-23,50171089
89	sao paulo	homem de mello barao	rua alfredo pujol	1555	2017013	santana	-46,62908936	-23,50016975
90	sao paulo	buenos aires	rua doutor olavo egidio	1008	2037001	santana	-46,61624908	-23,50009918
91	sao paulo	goncalves dias	nilo luis mazzei	SN	2081070	vila isolina mazzei	-46,60326004	-23,49443054
92	sao paulo	casimiro de abreu	rua coronel jordao	144	2075030	vila paiva	-46,60173035	-23,50790024
93	sao paulo	republica da bolivia	rua outeiro da cruz	571	2041040	jardim sao paulo	-46,6315918	-23,48498917
94	sao paulo	eurico figueiredo prof	fonseca filho ministro	75	2272030	jacana	-46,58660126	-23,47019958
95	sao paulo	alberto cardoso de mello neto dr	virgilia rodrigues alves de carvalho pinto professora	633	2346000	jardim leonor mendes de barros	-46,604599	-23,46439934
96	sao paulo	victor dos santos cunha prof	joao simao de castro	280	2141000	vila sabrina	-46,57130051	-23,49150085
97	sao paulo	sebastiao de souza bueno prof	francisco de medeiros jordao	579	2214030	vila medeiros	-46,58599854	-23,49230003
98	sao paulo	johann gutenberg	busse capitao	391	2232050	parque edu chaves	-46,56330109	-23,47360039
99	sao paulo	luiz amaral wagner prof	nicolino morena doutor	541	2257000	vila constanca	-46,58110046	-23,4734993
100	sao paulo	david eugenio dos santos prof	jose de almeida	1377	2204001	vila medeiros	-46,58981705	-23,48359108
101	sao paulo	judith guimaraes dos santos profa	manuel pereira sampaio	66	2352030	bortolandia	-46,59719849	-23,45639992
102	sao paulo	gabriela mistral	baracca major	584	2232000	parque edu chaves	-46,5623703	-23,47837067
103	sao paulo	jose maria reys prof	conceicao	3027	2135001	jardim japao	-46,5872612	-23,49739075
104	sao paulo	euripedes de castro	edgar ruzzant	456	2225010	jardim brasil zona norte	-46,57550049	-23,48049927
105	sao paulo	expedicionario brasileiro	rua altinopolis	501	2334001	agua fria	-46,620038	-23,482573
106	sao paulo	pedro alexandrino	imbiras	49	2316000	vila nova mazzei	-46,5969	-23,4653
107	sao paulo	julio pestana	guapira	2862	2265002	tucuruvi	-46,58340073	-23,46489906
108	sao paulo	silva jardim	tucuruvi	724	2304002	tucuruvi	-46,60520172	-23,48130035
109	sao paulo	alfredo inacio trindade	joao rosa	86	2255130	vila nivi	-46,59220123	-23,47789955
110	sao paulo	albino cesar	cajamar	5	2308090	vila mazzei	-46,6067009	-23,47769928
111	sao paulo	rafael de moraes lima prof	lavinia pacheco e silva	SN	2346140	jardim leonor mendes de barros	-46,60589981	-23,46570015
112	sao paulo	philomena baylao profa	coronel sezefredo fagundes	14666	2368000	nucleo do engordador	-46,58358002	-23,41511917
113	sao paulo	lael de moura prado prof	av professor castro junior	609	2138030	vl sabrina	-46,5743	-23,4976
114	sao paulo	miguel vieira ferreira dr	francisco de medeiros jordao	628	2214030	vila medeiros	-46,58580017	-23,49209976
115	sao paulo	maria paula marcondes domingues profa	manuel morais pontes	395	2373000	vila albertina	-46,61952972	-23,45401955
116	sao paulo	cyrene de oliveira laet dona	ester elisa	227	2278040	vila nilo	-46,57920074	-23,45910072
117	sao paulo	ruy barbosa conselheiro	antonio castelar de franceschi professor	200	2377080	horto florestal	-46,63059998	-23,45709991
118	sao paulo	joao ligabue conego	grota	483	2206010	vila gustavo	-46,59609985	-23,4818306
119	sao paulo	angelo bortolo	antonio goncalves silva	91	2352090	bortolandia	-46,59719849	-23,45499992
120	sao paulo	amenaide braga de queiroz profa	barra mansa	480	2337040	jardim franca	-46,61169815	-23,47660065
121	sao paulo	carmosina monteiro vianna profa	antonio palmieri	377	2210000	jardim brasil zona norte	-46,5799	-23,4857
122	sao paulo	arnaldo barreto	antonio pestana	58	2370020	tremembe	-46,62189865	-23,4612999
123	sao paulo	cassio da costa vidigal	muniz ferreira	121	2321170	jardim joamar	-46,58959961	-23,44799995
124	sao paulo	pedro de moraes victor dr	boaventura coletti	SN	2324100	vila fidalgo	-46,58850098	-23,4435997
125	sao paulo	maria angelita sayago laet profa	freire bastos	226	2261020	jardim modelo	-46,57770157	-23,46699905
126	sao paulo	jose do amaral mello prof	alpheu luiz gasparino	84	2281110	vila nova galvao	-46,57320023	-23,45159912
127	sao paulo	ademar hiroshi suda prof	agafita	50	2269080	parque vitoria	-46,59529877	-23,47063637
128	sao paulo	sao paulo	rua da figueira	500	3003000	bras	-46,62594986	-23,54943085
129	sao paulo	loureiro junior professor	rua padre adelino	1330	3303000	quarta parada	-46,58140945	-23,54381943
130	sao paulo	theodoro de moraes professor	avenida regente feijo	586	3342000	vila regente feijo	-46,57337952	-23,55806923
131	sao paulo	paulo monte serrat professor	toriba	141	3191130	vila canero	-46,5707283	-23,56801033
132	sao paulo	romao puigari	avenida rangel pestana	1482	3002000	bras	-46,62112045	-23,54573059
133	sao paulo	isai leirner	placido de castro	221	3349030	vila invernada	-46,5652504	-23,56753922
134	sao paulo	andre ohl	sapopemba	3244	3345000	vila regente feijo	-46,5579143	-23,5739445
135	sao paulo	andre xavier gallicho professor	mooca	4650	3165002	mooca	-46,58127975	-23,56188965
136	sao paulo	antonio firmino de proenca prof	rua da mooca	363	3103000	mooca	-46,621604	-23,553538
